client_id,date,feedback_text
C0001,2026-03-22,"Great support response time, issue resolved quickly."
C0002,2026-06-26,"The team loves the new dashboard, really improved our workflow."
C0002,2026-02-25,Onboarding was smooth and the product fits our needs well.
C0003,2026-01-20,We're expanding usage across more departments this quarter.
C0003,2026-06-21,"Great support response time, issue resolved quickly."
C0003,2026-02-17,We're expanding usage across more departments this quarter.
C0004,2026-04-13,"The team loves the new dashboard, really improved our workflow."
C0004,2026-06-11,We're expanding usage across more departments this quarter.
C0004,2026-01-24,"The team loves the new dashboard, really improved our workflow."
C0005,2026-02-21,We're evaluating competitor tools because key features are missing.
C0005,2026-05-18,Support has been slow to respond to our last three tickets.
C0006,2026-03-15,"We've had repeated bugs in the reporting module, frustrating."
C0006,2026-06-03,"We've had repeated bugs in the reporting module, frustrating."
C0006,2026-02-24,"We've had repeated bugs in the reporting module, frustrating."
C0007,2026-04-09,Pricing feels too high compared to the value we're getting.
C0007,2026-03-05,The platform is too complex for our team to adopt fully.
C0007,2026-05-28,"We've had repeated bugs in the reporting module, frustrating."
C0008,2026-06-05,We're expanding usage across more departments this quarter.
C0008,2026-02-11,"The team loves the new dashboard, really improved our workflow."
C0009,2026-04-26,Onboarding was smooth and the product fits our needs well.
C0009,2026-01-26,Onboarding was smooth and the product fits our needs well.
C0009,2026-05-08,Onboarding was smooth and the product fits our needs well.
C0010,2026-04-18,"Great support response time, issue resolved quickly."
C0011,2026-02-07,Support has been slow to respond to our last three tickets.
C0011,2026-03-12,Support has been slow to respond to our last three tickets.
C0011,2026-02-25,Support has been slow to respond to our last three tickets.
C0012,2026-01-22,"The team loves the new dashboard, really improved our workflow."
C0012,2026-04-08,Onboarding was smooth and the product fits our needs well.
C0012,2026-01-22,"Great support response time, issue resolved quickly."
C0013,2026-04-09,"The team loves the new dashboard, really improved our workflow."
C0013,2026-01-17,Onboarding was smooth and the product fits our needs well.
C0014,2026-04-16,The platform is too complex for our team to adopt fully.
C0014,2026-03-21,Pricing feels too high compared to the value we're getting.
C0015,2026-01-06,Pricing feels too high compared to the value we're getting.
C0016,2026-02-22,Pricing feels too high compared to the value we're getting.
C0016,2026-06-14,"We've had repeated bugs in the reporting module, frustrating."
C0016,2026-02-18,Pricing feels too high compared to the value we're getting.
C0017,2026-06-27,We're evaluating competitor tools because key features are missing.
C0017,2026-06-22,Pricing feels too high compared to the value we're getting.
C0017,2026-01-15,"We've had repeated bugs in the reporting module, frustrating."
C0018,2026-01-02,"The team loves the new dashboard, really improved our workflow."
C0018,2026-03-18,"Great support response time, issue resolved quickly."
C0018,2026-05-27,"The team loves the new dashboard, really improved our workflow."
C0019,2026-04-15,We're evaluating competitor tools because key features are missing.
C0020,2026-01-13,Onboarding was smooth and the product fits our needs well.
C0020,2026-05-01,"The team loves the new dashboard, really improved our workflow."
C0020,2026-06-19,"The team loves the new dashboard, really improved our workflow."
C0021,2026-03-17,"The team loves the new dashboard, really improved our workflow."
C0022,2026-05-03,Support has been slow to respond to our last three tickets.
